1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
-131.037323,377.7418213,51.09201813,153.2301636,84.86399078,-142.9279175,114.762207,115.663414,-68.28621674,-96.88218689,113.3459778,-31.94429207,98.40272522,149.5548096,-63.62107849,-119.9082336,12.93751144,-20.82673836,-1.564992189,-178.8791962
-20.48799515,115.9055252,79.26078796,12.80439472,-5.503959179,-115.6326828,-12.89221478,216.5599518,-160.0946655,49.29143906,-38.60769272,9.765014648,91.43479919,149.4328918,-122.5926285,-188.542038,-30.08916664,75.93251801,-89.95687866,-196.2992859
-116.196312,-64.74790955,163.783493,-44.95875168,-5.553142548,-224.8537445,-26.78515625,226.3488617,-165.4983673,97.34188843,189.4893036,38.75405884,67.11086273,34.23538208,-153.4341583,-180.056839,-62.02463913,-19.2380619,-184.1678467,-179.5898743
-141.9794312,-88.62509155,-18.48352814,-91.55490112,-94.14884186,-153.7203522,-18.34529495,252.5799255,-65.81310272,180.9605103,161.6772003,22.56633759,-14.41299438,-38.60287857,-132.502182,-131.1956635,-25.70258141,-114.3089905,-177.9399567,-78.22016144
98.61373138,30.48088837,48.433918,-144.9111786,-156.7636414,-132.5398407,-2.561395407,175.0785522,-113.6462631,249.7423553,-55.5338974,84.0851593,83.31184387,59.14553833,-86.15404511,-45.75563049,-56.20835495,-95.40570068,-177.9385071,-70.85721588
139.7281342,-144.3292389,98.05223084,-116.0145493,-117.900589,-46.24253464,79.68995667,3.695855379,-148.3724213,65.59177399,-102.795723,92.10559082,194.4433441,43.19746017,28.11901474,-49.40813828,-6.110813618,-121.2695007,-166.1765137,-153.2511749
-6.89378643,-111.8624268,168.0824738,-50.52009583,-127.8475189,-32.8253746,-5.347837448,88.50504303,-131.5340729,33.50437927,-166.7888489,106.4654236,95.52204895,-10.21252823,60.8074646,-149.2940063,70.20259094,-28.23417473,-154.2957001,-166.0466919
97.26398468,75.82045746,17.80680275,22.8962059,-56.3699379,-26.99285889,73.36656952,125.7365952,-128.1864319,-80.67379761,-111.16819,160.8418884,92.68651581,-15.92978287,77.84977722,-106.7454834,-27.12449455,-138.5287323,-142.2501526,-174.8868408
12.61838341,-61.94102097,10.56646729,34.35187531,64.8551178,-150.7602386,-145.6866455,24.57831955,-132.629303,-14.25729275,-119.4826736,133.18396,98.28804016,-50.47874069,-36.54636383,-45.34986115,-38.04533386,-115.6122818,-124.60009,-122.2204056
-9.44107151,15.56012726,-7.354892731,21.17736244,183.8350983,-9.398030281,-106.274025,-58.97095871,-19.31066704,-52.30006409,-93.43250275,170.0327454,15.73022652,126.5828323,-4.74907732,-62.10480499,94.4254303,-92.28379059,-119.680336,-167.9586639
-108.7622452,-3.126704693,-9.913170815,9.485479355,198.9124756,11.16178131,167.2532959,109.1879501,41.6888504,123.6206131,-82.41568756,84.57733917,-17.39755249,281.3800964,118.5186768,-79.87117767,450.0653687,-60.53585052,-151.8409576,-114.515152
-38.10092163,-108.7039261,1.173177361,7.479397297,200.0005493,-25.75465775,237.8787994,92.39782715,-23.78712273,229.3538971,-104.0212936,-42.26665497,-28.68785477,78.4662323,-105.2754745,-126.9321823,338.6260681,-12.46523857,-193.7442627,90.3007431
-96.71012115,84.11335754,-29.05925179,-10.40273857,219.1513977,-87.23537445,208.4250793,91.75165558,39.44185638,261.9059143,-86.96654511,-53.53892136,0.179828912,-36.98638535,-135.8402557,-0.177876726,173.6042175,-60.74168015,-189.1965637,99.05848694
-173.6899719,85.09533691,-138.9296417,-25.03162575,187.6338654,87.99069214,-13.51218987,162.2501221,-11.79734993,150.5141449,-119.2534332,-23.93724632,127.1046829,-93.22865295,-136.0041962,167.0736389,-14.97438049,38.62704468,-151.5036469,-40.88108826
80.99069214,44.35709763,-150.4597015,-16.07997322,83.68580627,310.8030396,124.5395889,-42.03228378,-59.62951279,22.5996685,-124.2177963,68.92877197,157.4899139,-81.9624939,-74.15181732,-4.688110828,-93.49034119,136.5713348,-174.3881836,-91.88877106
-83.09523773,-2.702572584,34.44156647,1.81586051,137.2960968,54.34276581,115.8625793,-31.25489235,-83.06108856,37.87900925,-113.4447708,45.62086487,9.582493782,-73.19898224,-31.14941406,-100.7689285,-114.1141052,191.5341949,-141.3213348,-100.7038727
